epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,109.767,1.52125,1.39988,1.44827,0.2271,0.20833,0.22677,0.09797,2.52398,3.40768,2.26718,0.0005941,0.0005941,0.0005941
43,112.228,1.52934,1.54655,1.48574,0.20558,0.14167,0.21828,0.07608,2.55302,3.29974,2.25818,0.0005842,0.0005842,0.0005842
44,115.239,1.4748,1.37634,1.48482,0.2,0.16265,0.21959,0.07609,2.55882,3.25575,2.1723,0.0005743,0.0005743,0.0005743
45,117.576,1.5084,1.35585,1.37237,0.6,0.12928,0.20532,0.07495,2.56206,3.42776,2.18516,0.0005644,0.0005644,0.0005644
46,119.907,1.36531,1.20953,1.35738,0.58575,0.06667,0.14565,0.06725,2.4,3.50052,2.1205,0.0005545,0.0005545,0.0005545
47,122.189,1.40684,1.37744,1.36286,0.06883,0.2,0.14453,0.06443,2.44692,3.46784,2.20831,0.0005446,0.0005446,0.0005446
48,124.522,1.34497,1.21357,1.28595,0.17333,0.15,0.12786,0.04377,2.44917,3.51315,2.21912,0.0005347,0.0005347,0.0005347
49,127.699,1.42356,1.31082,1.35528,0.16979,0.15,0.13576,0.03967,2.44388,3.4349,2.24001,0.0005248,0.0005248,0.0005248
50,130.076,1.38017,1.27283,1.32334,0.20884,0.25667,0.22985,0.08813,2.43456,3.12872,2.20216,0.0005149,0.0005149,0.0005149
51,132.438,1.32564,1.18351,1.29886,0.22807,0.20794,0.25169,0.09044,2.42938,3.21497,2.18386,0.000505,0.000505,0.000505
52,134.809,1.31517,1.1733,1.29797,0.37476,0.18333,0.1879,0.06705,2.44693,3.59403,2.23298,0.0004951,0.0004951,0.0004951
53,137.05,1.33834,1.14365,1.31098,0.41256,0.17321,0.16401,0.06044,2.48963,3.86914,2.22562,0.0004852,0.0004852,0.0004852
54,139.96,1.32505,1.11289,1.27157,0.74161,0.16667,0.17636,0.06838,2.5097,3.93355,2.26356,0.0004753,0.0004753,0.0004753
55,142.542,1.27443,1.0817,1.23935,0.76637,0.16667,0.20202,0.08357,2.49857,3.72387,2.24535,0.0004654,0.0004654,0.0004654
56,144.969,1.22694,1.0307,1.22882,0.76341,0.175,0.20525,0.10634,2.48065,3.44697,2.2441,0.0004555,0.0004555,0.0004555
57,147.193,1.29721,1.06452,1.26651,0.7096,0.20833,0.22387,0.11839,2.49039,3.44619,2.23403,0.0004456,0.0004456,0.0004456
58,149.693,1.26018,1.06307,1.26101,0.40217,0.20423,0.21146,0.10687,2.40898,3.54749,2.17052,0.0004357,0.0004357,0.0004357
59,152.58,1.26915,1.0623,1.22917,0.14421,0.175,0.16896,0.08366,2.43014,3.7494,2.20647,0.0004258,0.0004258,0.0004258
60,155.383,1.22095,1.02109,1.21476,0.23598,0.10608,0.11245,0.05133,2.43972,3.70041,2.275,0.0004159,0.0004159,0.0004159
61,157.696,1.29406,1.05782,1.28426,0.32984,0.075,0.08641,0.04306,2.4793,3.6724,2.31928,0.000406,0.000406,0.000406
62,159.972,1.20701,1.00892,1.23296,0.25859,0.05833,0.07503,0.03291,2.52554,3.76737,2.33038,0.0003961,0.0003961,0.0003961
63,162.363,1.27,1.10282,1.26076,0.31263,0.09716,0.09416,0.03717,2.55659,3.93909,2.33542,0.0003862,0.0003862,0.0003862
64,165.281,1.23785,1.04878,1.30352,0.79122,0.06667,0.10968,0.05055,2.48572,4.04503,2.30552,0.0003763,0.0003763,0.0003763
65,168.666,1.13894,0.96168,1.16976,0.4,0.06538,0.12876,0.05262,2.52143,3.97851,2.2998,0.0003664,0.0003664,0.0003664
66,171.012,1.07302,0.90495,1.14335,0.35772,0.12575,0.17463,0.07085,2.48295,3.5598,2.28366,0.0003565,0.0003565,0.0003565
67,173.264,1.14942,0.96581,1.19309,0.56649,0.16667,0.20332,0.07575,2.47763,3.44719,2.29578,0.0003466,0.0003466,0.0003466
68,175.475,1.2043,0.98749,1.20765,0.96976,0.18834,0.25215,0.08043,2.45776,3.73846,2.36774,0.0003367,0.0003367,0.0003367
69,178.349,1.0688,0.96191,1.15772,0.96279,0.16667,0.23749,0.07826,2.48252,3.75828,2.38123,0.0003268,0.0003268,0.0003268
70,181.149,1.19037,0.9459,1.21496,0.51839,0.17809,0.18186,0.07259,2.5743,3.65923,2.42151,0.0003169,0.0003169,0.0003169
71,183.435,1.10409,0.87708,1.16675,0.24234,0.18333,0.15771,0.06983,2.50181,3.70519,2.30294,0.000307,0.000307,0.000307
72,185.845,1.06202,0.81106,1.15632,0.03685,0.30667,0.09408,0.0519,2.39991,3.94799,2.22399,0.0002971,0.0002971,0.0002971
73,188.156,1.01442,0.8097,1.11121,0.05218,0.13326,0.0938,0.0429,2.46241,4.03524,2.25264,0.0002872,0.0002872,0.0002872
74,190.905,1.0389,0.87696,1.12103,0.38455,0.075,0.10238,0.04075,2.44754,3.93418,2.21893,0.0002773,0.0002773,0.0002773
75,193.667,1.0351,0.83367,1.11753,0.36729,0.15743,0.13579,0.05826,2.46521,3.83088,2.22988,0.0002674,0.0002674,0.0002674
76,196.026,0.98533,0.78199,1.08576,0.68098,0.17122,0.1898,0.08305,2.41841,3.74267,2.20938,0.0002575,0.0002575,0.0002575
77,198.305,0.95688,0.7542,1.07098,0.61893,0.17336,0.18048,0.08282,2.39776,3.78072,2.20186,0.0002476,0.0002476,0.0002476
78,200.616,1.00598,0.75177,1.09428,0.43359,0.11309,0.14243,0.0608,2.52877,3.73829,2.25912,0.0002377,0.0002377,0.0002377
79,203.14,0.9806,0.81867,1.09832,0.17226,0.18333,0.16704,0.06129,2.50704,3.69851,2.2191,0.0002278,0.0002278,0.0002278
80,206.224,1.00338,0.77558,1.09584,0.18038,0.16676,0.175,0.0772,2.46587,3.50314,2.21299,0.0002179,0.0002179,0.0002179
81,208.451,1.01317,0.82151,1.0995,0.47268,0.17526,0.23589,0.08831,2.4227,3.52041,2.18007,0.000208,0.000208,0.000208
82,210.918,0.98652,0.79207,1.11328,0.75703,0.15,0.20936,0.08174,2.36739,3.64589,2.17463,0.0001981,0.0001981,0.0001981
83,213.16,0.95699,0.7985,1.10827,0.69377,0.18111,0.20556,0.08359,2.38529,3.73885,2.17624,0.0001882,0.0001882,0.0001882
84,215.541,0.99961,0.85807,1.10765,0.40868,0.15,0.16948,0.05662,2.37891,4.0579,2.18542,0.0001783,0.0001783,0.0001783
85,218.666,0.96606,0.77392,1.12094,0.1563,0.18333,0.1572,0.04847,2.39735,4.06447,2.20995,0.0001684,0.0001684,0.0001684
86,221.08,0.95384,0.75438,1.063,0.20904,0.11667,0.13157,0.0443,2.40939,4.159,2.21164,0.0001585,0.0001585,0.0001585
87,223.326,0.88774,0.70088,1.0649,0.41627,0.11667,0.15743,0.04559,2.41369,4.11517,2.20554,0.0001486,0.0001486,0.0001486
88,225.73,0.87901,0.67597,1.06276,0.7015,0.11667,0.17404,0.06009,2.41106,3.92171,2.1812,0.0001387,0.0001387,0.0001387
89,227.951,0.91932,0.72091,1.05589,0.4202,0.14592,0.18143,0.06276,2.4217,3.86831,2.15865,0.0001288,0.0001288,0.0001288
90,231.01,0.85638,0.70412,1.058,0.44101,0.14524,0.1779,0.06903,2.39759,3.76818,2.1299,0.0001189,0.0001189,0.0001189
91,235.302,0.93817,0.8118,1.10304,0.48991,0.15,0.19717,0.07357,2.41568,3.76585,2.13347,0.000109,0.000109,0.000109
92,237.939,0.91952,0.71765,1.0829,0.44547,0.18333,0.20026,0.08084,2.36899,3.76397,2.11256,9.91e-05,9.91e-05,9.91e-05
93,240.11,0.78793,0.65182,1.02306,0.50842,0.18333,0.21258,0.09128,2.35058,3.74676,2.10372,8.92e-05,8.92e-05,8.92e-05
94,242.728,0.81145,0.62673,1.00717,0.76277,0.18333,0.21172,0.09362,2.33683,3.76178,2.1068,7.93e-05,7.93e-05,7.93e-05
95,245.403,0.84533,0.74505,1.02368,0.77348,0.18333,0.21189,0.09691,2.34202,3.76034,2.11776,6.94e-05,6.94e-05,6.94e-05
96,247.659,0.81771,0.61036,0.97764,0.57506,0.18333,0.21859,0.09127,2.35575,3.76246,2.11879,5.95e-05,5.95e-05,5.95e-05
97,249.959,0.72987,0.60946,0.99172,0.57422,0.1821,0.22069,0.0838,2.35929,3.75802,2.12806,4.96e-05,4.96e-05,4.96e-05
98,252.233,0.76409,0.58373,0.98649,0.78352,0.18329,0.21419,0.07908,2.38003,3.73626,2.13876,3.97e-05,3.97e-05,3.97e-05
99,254.463,0.72314,0.57216,0.96705,0.77691,0.18333,0.22046,0.08004,2.39476,3.74231,2.14359,2.98e-05,2.98e-05,2.98e-05
100,257.544,0.79962,0.63489,1.00247,0.76223,0.18333,0.21842,0.07998,2.40051,3.72435,2.14315,1.99e-05,1.99e-05,1.99e-05
